Gene stable ID	Rat gene stable ID
ENSG00000275732	
ENSG00000275717	
ENSG00000274696	
ENSG00000274807	
ENSG00000275112	
ENSG00000277742	
ENSG00000274518	
ENSG00000278360	
ENSG00000275938	
ENSG00000281935	
ENSG00000276139	
ENSG00000276013	
ENSG00000273575	
ENSG00000274120	
ENSG00000277317	
ENSG00000274945	
ENSG00000276974	
ENSG00000278325	
ENSG00000277176	
ENSG00000276425	
ENSG00000276930	
ENSG00000275421	
ENSG00000274146	
ENSG00000276329	
ENSG00000277630	
ENSG00000275172	
ENSG00000276518	
ENSG00000278152	
ENSG00000274782	
ENSG00000274714	
ENSG00000273947	
ENSG00000275422	
ENSG00000276885	
ENSG00000274851	
ENSG00000277334	
ENSG00000276779	
ENSG00000275914	
ENSG00000273688	
ENSG00000277570	
ENSG00000275786	
ENSG00000276306	
ENSG00000274955	
ENSG00000277193	
ENSG00000277185	
ENSG00000275288	
ENSG00000276392	
ENSG00000278793	
ENSG00000275237	
ENSG00000276247	
ENSG00000276212	
ENSG00000278207	
ENSG00000276044	
ENSG00000276099	
ENSG00000281738	
ENSG00000274243	
ENSG00000273578	
ENSG00000281250	
ENSG00000278414	
ENSG00000278786	
ENSG00000275035	
ENSG00000274639	
ENSG00000276498	
ENSG00000274948	
ENSG00000278051	
ENSG00000274724	
ENSG00000278850	
ENSG00000277835	
ENSG00000276035	
ENSG00000275521	
ENSG00000276001	
ENSG00000277964	
ENSG00000276985	
ENSG00000276423	
ENSG00000278710	
ENSG00000278625	
ENSG00000262025	
ENSG00000263275	
ENSG00000273510	
ENSG00000262299	
ENSG00000281954	
ENSG00000262767	
ENSG00000275848	
ENSG00000277551	
ENSG00000275245	
ENSG00000261992	
ENSG00000276154	
ENSG00000278755	
ENSG00000274545	
ENSG00000275225	
ENSG00000278490	
ENSG00000278856	
ENSG00000277267	
ENSG00000276534	
ENSG00000262647	
ENSG00000281107	
ENSG00000263130	
ENSG00000277078	
ENSG00000262268	
ENSG00000281313	
ENSG00000263163	
ENSG00000274830	
ENSG00000275659	
ENSG00000277725	
ENSG00000281279	
ENSG00000262535	
ENSG00000274722	
ENSG00000276590	
ENSG00000276004	
ENSG00000276197	
ENSG00000273502	
ENSG00000274917	
ENSG00000273730	
ENSG00000273937	
ENSG00000275750	
ENSG00000273526	
ENSG00000281777	
ENSG00000278758	
ENSG00000261958	
ENSG00000277076	
ENSG00000275433	
ENSG00000273522	
ENSG00000281683	
ENSG00000262191	
ENSG00000278726	
ENSG00000281839	
ENSG00000273738	
ENSG00000278345	
ENSG00000276806	
ENSG00000282469	
ENSG00000275080	
ENSG00000276333	
ENSG00000282650	
ENSG00000282069	
ENSG00000280271	
ENSG00000279566	
ENSG00000277650	
ENSG00000279614	
ENSG00000278329	
ENSG00000276218	
ENSG00000273661	
ENSG00000274746	
ENSG00000274108	
ENSG00000278442	
ENSG00000277362	
ENSG00000274271	
ENSG00000274676	
ENSG00000277356	
ENSG00000262994	
ENSG00000275289	
ENSG00000269823	
ENSG00000279280	
ENSG00000276999	
ENSG00000262710	
ENSG00000279112	
ENSG00000262469	
ENSG00000276295	
ENSG00000267728	
ENSG00000275531	
ENSG00000280218	
ENSG00000273881	
ENSG00000275815	
ENSG00000280066	
ENSG00000277940	
ENSG00000278369	
ENSG00000278327	
ENSG00000263090	
ENSG00000262512	
ENSG00000273887	
ENSG00000262749	
ENSG00000263103	
ENSG00000274480	
ENSG00000267635	
ENSG00000276450	
ENSG00000267208	
ENSG00000262573	
ENSG00000275136	
ENSG00000263115	
ENSG00000262218	
ENSG00000262896	
ENSG00000275436	
ENSG00000263263	
ENSG00000275970	
ENSG00000262221	
ENSG00000274193	
ENSG00000274708	
ENSG00000262542	
ENSG00000262214	
ENSG00000262946	
ENSG00000275795	
ENSG00000262594	
ENSG00000275937	
ENSG00000274707	
ENSG00000277963	
ENSG00000277885	
ENSG00000276011	
ENSG00000273929	
ENSG00000274556	
ENSG00000277552	
ENSG00000277750	
ENSG00000274788	
ENSG00000275452	
ENSG00000274912	
ENSG00000276395	
ENSG00000278474	
ENSG00000276310	
ENSG00000274786	
ENSG00000274920	
ENSG00000263057	
ENSG00000273794	
ENSG00000275456	
ENSG00000278025	
ENSG00000262068	
ENSG00000275887	
ENSG00000263296	
ENSG00000275546	
ENSG00000262121	
ENSG00000263091	
ENSG00000264450	
ENSG00000263309	
ENSG00000278339	
ENSG00000275051	
ENSG00000278079	
ENSG00000274465	
ENSG00000276808	
ENSG00000278190	
ENSG00000274947	
ENSG00000276243	
ENSG00000276465	
ENSG00000281020	
ENSG00000274082	
ENSG00000277392	
ENSG00000275168	
ENSG00000281775	
ENSG00000277603	
ENSG00000278573	
ENSG00000276209	
ENSG00000277196	ENSRNOG00000000281
ENSG00000278288	
ENSG00000278656	
ENSG00000273517	
ENSG00000277596	
ENSG00000274610	
ENSG00000275059	
ENSG00000276324	
ENSG00000277240	
ENSG00000282534	
ENSG00000273955	
ENSG00000274563	
ENSG00000275269	
ENSG00000275021	
ENSG00000274429	
ENSG00000276552	
ENSG00000278411	
ENSG00000278833	
ENSG00000262845	
ENSG00000275629	
ENSG00000277850	
ENSG00000278368	
ENSG00000281753	
ENSG00000280541	
ENSG00000281289	
ENSG00000278817	ENSRNOG00000001880
ENSG00000276017	ENSRNOG00000068579
ENSG00000280830	
ENSG00000262808	
ENSG00000274891	
ENSG00000262731	
ENSG00000276882	
ENSG00000263229	
ENSG00000262487	
ENSG00000262376	
ENSG00000262347	
ENSG00000262520	
ENSG00000263243	
ENSG00000274771	
ENSG00000261862	
ENSG00000280770	
ENSG00000281723	
ENSG00000262164	
ENSG00000262616	
ENSG00000261852	
ENSG00000263101	
ENSG00000262862	
ENSG00000263236	
ENSG00000263242	
ENSG00000277028	
ENSG00000266286	
ENSG00000261968	
ENSG00000281062	
ENSG00000282480	
ENSG00000282766	
ENSG00000282329	
ENSG00000277560	
ENSG00000281496	
ENSG00000275428	
ENSG00000275416	
ENSG00000281617	
ENSG00000274679	
ENSG00000275353	
ENSG00000273752	
ENSG00000278116	
ENSG00000275500	
ENSG00000276938	
ENSG00000277442	
ENSG00000276327	
ENSG00000267237	
ENSG00000281577	
ENSG00000267639	
ENSG00000274597	
ENSG00000281503	
ENSG00000282391	
ENSG00000274706	
ENSG00000278809	
ENSG00000278747	
ENSG00000278495	
ENSG00000276371	
ENSG00000281232	
ENSG00000277921	
ENSG00000277554	
ENSG00000278074	
ENSG00000274692	
ENSG00000281763	
ENSG00000277657	
ENSG00000275062	
ENSG00000275513	
ENSG00000282388	
ENSG00000277567	
ENSG00000282551	
ENSG00000282176	
ENSG00000275637	
ENSG00000282507	
ENSG00000263322	
ENSG00000277101	
ENSG00000282112	
ENSG00000262102	
ENSG00000277691	
ENSG00000282220	
ENSG00000277982	
ENSG00000277375	
ENSG00000273918	
ENSG00000280759	
ENSG00000279612	
ENSG00000275593	
ENSG00000276625	
ENSG00000282606	
ENSG00000274957	
ENSG00000275317	
ENSG00000278140	
ENSG00000281949	
ENSG00000276328	
ENSG00000282330	
ENSG00000281995	
ENSG00000278614	
ENSG00000281942	
ENSG00000279389	
ENSG00000278430	
ENSG00000282752	
ENSG00000262860	
ENSG00000282233	
ENSG00000282770	
ENSG00000282690	
ENSG00000281157	
ENSG00000274438	
ENSG00000276516	
ENSG00000276274	
ENSG00000274163	
ENSG00000274842	
ENSG00000276254	
ENSG00000274406	
ENSG00000275671	
ENSG00000275276	
ENSG00000277518	
ENSG00000275517	
ENSG00000275008	
ENSG00000275599	
ENSG00000273670	
ENSG00000274476	
ENSG00000262113	
ENSG00000277456	
ENSG00000274283	
ENSG00000278606	
ENSG00000274980	
ENSG00000278788	
ENSG00000274009	
ENSG00000274942	
ENSG00000273518	
ENSG00000282352	
ENSG00000282037	
ENSG00000282782	
ENSG00000282611	
ENSG00000282677	
ENSG00000282536	
ENSG00000282715	
ENSG00000278853	
ENSG00000252379	
ENSG00000277428	
ENSG00000276256	
ENSG00000278063	
ENSG00000263270	
ENSG00000276084	
ENSG00000277354	
ENSG00000277251	
ENSG00000281351	
ENSG00000280559	
ENSG00000280647	
ENSG00000278476	
ENSG00000274382	
ENSG00000279215	
ENSG00000276307	
ENSG00000273883	
ENSG00000281644	
ENSG00000282753	
ENSG00000282649	
ENSG00000278821	
ENSG00000278666	
ENSG00000282302	
ENSG00000277271	
ENSG00000275247	
ENSG00000277729	
ENSG00000275351	
ENSG00000278304	
ENSG00000277833	
ENSG00000281254	
ENSG00000281173	
ENSG00000278508	
ENSG00000276686	
ENSG00000278201	
ENSG00000278427	
ENSG00000280971	
ENSG00000262679	
ENSG00000262536	
ENSG00000262156	
ENSG00000278361	
ENSG00000280807	
ENSG00000281919	
ENSG00000274106	
ENSG00000277976	
ENSG00000279974	
ENSG00000277389	
ENSG00000274402	
ENSG00000262453	
ENSG00000278780	
ENSG00000280585	
ENSG00000277069	
ENSG00000278620	
ENSG00000278247	
ENSG00000275255	
ENSG00000281690	
ENSG00000273528	
ENSG00000275262	
ENSG00000277091	
ENSG00000278302	
ENSG00000278633	ENSRNOG00000068579
ENSG00000278066	
ENSG00000275486	
ENSG00000274449	
ENSG00000281261	
ENSG00000279318	
ENSG00000278489	
ENSG00000281737	
ENSG00000281633	
ENSG00000274296	
ENSG00000281725	
ENSG00000281176	
ENSG00000281240	
ENSG00000278091	
ENSG00000281783	
ENSG00000281111	
ENSG00000278165	
ENSG00000281733	
ENSG00000281754	
ENSG00000280490	
ENSG00000275920	
ENSG00000277046	
ENSG00000277068	
ENSG00000280500	
ENSG00000281829	
ENSG00000281149	
ENSG00000278070	
ENSG00000281618	
ENSG00000280986	
ENSG00000278210	
ENSG00000281076	
ENSG00000281191	
ENSG00000280737	
ENSG00000281645	
ENSG00000281533	
ENSG00000277291	
ENSG00000278230	
ENSG00000276582	
ENSG00000275321	
ENSG00000280679	
ENSG00000280428	
ENSG00000281801	
ENSG00000280030	
ENSG00000280839	
ENSG00000280784	
ENSG00000275050	
ENSG00000280557	
ENSG00000280618	
ENSG00000280765	
ENSG00000277175	
ENSG00000278373	
ENSG00000280898	
ENSG00000277153	
ENSG00000273793	
ENSG00000281374	
ENSG00000275083	
ENSG00000274657	
ENSG00000281077	
ENSG00000261846	
ENSG00000277909	
ENSG00000281651	
ENSG00000262411	
ENSG00000275253	
ENSG00000276565	
ENSG00000262466	
ENSG00000275626	
ENSG00000281151	
ENSG00000262473	
ENSG00000276595	
ENSG00000282201	
ENSG00000281567	
ENSG00000277364	
ENSG00000275338	
ENSG00000275326	
ENSG00000275336	
ENSG00000276777	
ENSG00000273681	
ENSG00000281012	
ENSG00000278364	
ENSG00000273501	
ENSG00000275009	
ENSG00000278036	
ENSG00000281703	
ENSG00000278019	
ENSG00000280619	
ENSG00000281380	
ENSG00000273772	
ENSG00000280461	
ENSG00000262148	
ENSG00000262911	
ENSG00000281513	
ENSG00000281081	
ENSG00000276856	
ENSG00000281464	
ENSG00000281048	
ENSG00000262892	
ENSG00000262795	
ENSG00000275495	
ENSG00000262634	
ENSG00000278271	
ENSG00000282429	
ENSG00000280815	
ENSG00000278659	
ENSG00000263141	
ENSG00000282378	
ENSG00000282485	
ENSG00000275754	
ENSG00000282214	
ENSG00000282110	
ENSG00000274018	
ENSG00000275617	
ENSG00000282085	
ENSG00000281758	
ENSG00000282443	
ENSG00000275047	
ENSG00000262132	
ENSG00000262938	
ENSG00000281559	
ENSG00000281489	
ENSG00000275511	
ENSG00000280838	
ENSG00000274681	
ENSG00000273508	
ENSG00000280635	
ENSG00000281470	
ENSG00000263140	
ENSG00000277113	
ENSG00000282464	
ENSG00000274763	
ENSG00000273831	
ENSG00000281486	
ENSG00000275102	
ENSG00000263160	
ENSG00000280072	
ENSG00000281658	
ENSG00000281914	
ENSG00000281425	
ENSG00000282103	
ENSG00000280638	
ENSG00000280840	
ENSG00000276512	
ENSG00000282347	
ENSG00000282245	
ENSG00000278562	
ENSG00000282665	
ENSG00000274254	
ENSG00000276910	
ENSG00000274780	
ENSG00000275623	
ENSG00000280716	
ENSG00000277642	
ENSG00000281830	
ENSG00000281916	
ENSG00000276052	
ENSG00000277400	
ENSG00000274847	ENSRNOG00000018792
ENSG00000274971	
ENSG00000276086	
ENSG00000263314	
ENSG00000275731	
ENSG00000277374	ENSRNOG00000058037
ENSG00000274404	
ENSG00000260873	
ENSG00000262159	
ENSG00000282734	
ENSG00000281997	
ENSG00000262592	
ENSG00000282141	
ENSG00000262036	
ENSG00000282001	
ENSG00000282152	
ENSG00000281537	
ENSG00000275987	
ENSG00000278429	
ENSG00000280476	
ENSG00000268674	
ENSG00000262788	
ENSG00000277475	
ENSG00000274040	
ENSG00000275405	
ENSG00000281953	
ENSG00000273603	
ENSG00000281999	
ENSG00000275596	
ENSG00000276374	
ENSG00000280787	
ENSG00000278688	
ENSG00000282044	
ENSG00000273922	
ENSG00000278728	
ENSG00000275608	
ENSG00000281122	
ENSG00000281828	
ENSG00000281846	
ENSG00000281422	
ENSG00000281356	
ENSG00000273748	
ENSG00000280700	
ENSG00000276062	
ENSG00000276377	
ENSG00000277205	
ENSG00000274906	
ENSG00000262354	
ENSG00000262579	
ENSG00000281038	
ENSG00000263150	
ENSG00000281773	
ENSG00000281819	
ENSG00000262315	
ENSG00000280750	
ENSG00000280577	
ENSG00000280613	
ENSG00000261897	
ENSG00000262851	
ENSG00000280617	
ENSG00000280712	
ENSG00000262755	
ENSG00000262611	
ENSG00000263127	
ENSG00000281800	
ENSG00000282377	
ENSG00000280821	
ENSG00000281580	
ENSG00000262784	
ENSG00000272835	
ENSG00000281820	
ENSG00000263328	
ENSG00000273498	
ENSG00000262796	
ENSG00000278229	
ENSG00000281019	
ENSG00000276920	
ENSG00000281482	
ENSG00000273194	
ENSG00000273397	
ENSG00000273785	
ENSG00000272532	
ENSG00000281687	
ENSG00000276896	
ENSG00000281603	
ENSG00000273954	
ENSG00000278088	
ENSG00000281060	
ENSG00000275873	
ENSG00000274166	
ENSG00000277848	
ENSG00000282596	
ENSG00000276482	
ENSG00000276016	
ENSG00000282090	
ENSG00000273936	
ENSG00000277445	
ENSG00000276143	
ENSG00000275855	
ENSG00000282126	
ENSG00000273651	
ENSG00000282810	
ENSG00000281417	
ENSG00000272000	
ENSG00000276230	
ENSG00000278277	
ENSG00000276994	
ENSG00000278692	
ENSG00000275735	
ENSG00000273546	
ENSG00000275782	
ENSG00000281521	
ENSG00000277844	
ENSG00000282280	
ENSG00000280983	
ENSG00000277429	
ENSG00000261905	
ENSG00000261893	
ENSG00000285263	
ENSG00000273635	
ENSG00000282531	
ENSG00000276068	
ENSG00000276455	
ENSG00000281946	
ENSG00000274192	
ENSG00000273969	
ENSG00000282058	
ENSG00000276485	
ENSG00000272765	
ENSG00000276005	
ENSG00000282516	
ENSG00000282731	
ENSG00000282587	
ENSG00000277278	
ENSG00000278846	
ENSG00000262024	
ENSG00000274801	
ENSG00000280556	
ENSG00000276798	
ENSG00000282581	
ENSG00000276767	
ENSG00000280880	
ENSG00000274700	
ENSG00000274122	
ENSG00000281542	
ENSG00000277365	
ENSG00000280865	
ENSG00000280521	
ENSG00000275571	
ENSG00000275430	
ENSG00000277753	
ENSG00000275306	
ENSG00000272901	
ENSG00000278403	
ENSG00000281274	
ENSG00000274112	
ENSG00000281740	
ENSG00000277131	
ENSG00000276163	
ENSG00000273616	
ENSG00000281901	
ENSG00000280482	
ENSG00000281915	
ENSG00000281821	
ENSG00000280909	
ENSG00000262785	
ENSG00000272813	
ENSG00000275211	
ENSG00000262303	
ENSG00000280629	
ENSG00000276613	
ENSG00000281798	
ENSG00000263181	
ENSG00000278303	
ENSG00000276825	
ENSG00000282712	
ENSG00000280993	
ENSG00000281742	
ENSG00000276561	
ENSG00000263037	
ENSG00000262734	
ENSG00000263290	
ENSG00000262055	
ENSG00000275658	
ENSG00000282457	
ENSG00000281184	
ENSG00000280722	
ENSG00000281761	
ENSG00000282814	
ENSG00000278501	
ENSG00000275333	
ENSG00000275737	
ENSG00000274320	
ENSG00000280518	
ENSG00000278481	
ENSG00000281300	
ENSG00000276387	
ENSG00000275991	
ENSG00000277163	
ENSG00000278086	
ENSG00000274803	
ENSG00000277540	
ENSG00000282209	
ENSG00000282755	
ENSG00000282514	
ENSG00000263231	
ENSG00000282183	
ENSG00000262446	
ENSG00000280621	
ENSG00000280609	
ENSG00000281225	
ENSG00000280645	
ENSG00000276536	
ENSG00000273494	
ENSG00000274042	
ENSG00000276461	
ENSG00000282113	
ENSG00000282114	
ENSG00000276228	
ENSG00000273753	
ENSG00000273673	
ENSG00000275555	
ENSG00000281976	
ENSG00000275838	
ENSG00000280592	
ENSG00000280883	
ENSG00000280811	
ENSG00000282084	
ENSG00000282005	
ENSG00000275037	
ENSG00000273859	
ENSG00000275049	
ENSG00000273984	
ENSG00000273822	
ENSG00000276979	
ENSG00000276429	
ENSG00000273572	
ENSG00000276572	
ENSG00000275349	
ENSG00000263324	
ENSG00000281612	
ENSG00000280626	
ENSG00000280578	
ENSG00000280504	
ENSG00000278216	
ENSG00000273529	
ENSG00000273943	
ENSG00000262666	
ENSG00000281197	
ENSG00000281308	
ENSG00000280525	
ENSG00000280794	
ENSG00000281650	
ENSG00000281547	
ENSG00000281734	
ENSG00000281321	
ENSG00000275190	
ENSG00000262599	
ENSG00000275125	
ENSG00000274889	
ENSG00000285240	
ENSG00000281210	
ENSG00000276159	
ENSG00000275581	
ENSG00000281154	
ENSG00000278432	
ENSG00000281510	
ENSG00000276731	
ENSG00000277132	
ENSG00000277894	
ENSG00000278426	
ENSG00000276279	
ENSG00000261994	
ENSG00000278355	
ENSG00000276177	
ENSG00000277071	
ENSG00000280740	
ENSG00000280720	
ENSG00000278061	
ENSG00000274394	
ENSG00000281704	
ENSG00000274058	
ENSG00000262771	
ENSG00000274953	
ENSG00000278634	
ENSG00000278362	
ENSG00000263238	
ENSG00000281174	
ENSG00000282598	
ENSG00000281127	
ENSG00000274473	
ENSG00000281890	
ENSG00000275272	
ENSG00000282367	
ENSG00000281794	
ENSG00000273666	
ENSG00000262505	
ENSG00000278691	
ENSG00000275399	
ENSG00000275522	
ENSG00000262635	
ENSG00000274623	
ENSG00000226463	
ENSG00000272603	
ENSG00000224229	
ENSG00000241408	
ENSG00000281421	
ENSG00000236927	
ENSG00000274566	
ENSG00000234495	
ENSG00000281104	
ENSG00000281870	
ENSG00000280892	
ENSG00000278384	
ENSG00000274050	
ENSG00000262327	
ENSG00000277824	
ENSG00000277006	
ENSG00000263042	
ENSG00000278827	
ENSG00000274729	
ENSG00000277807	
ENSG00000275196	
ENSG00000273519	
ENSG00000277923	
ENSG00000274540	
ENSG00000262671	
ENSG00000281161	
ENSG00000273884	
ENSG00000262656	
ENSG00000275444	
ENSG00000276342	
ENSG00000281040	
ENSG00000274513	
ENSG00000278081	
ENSG00000273641	
ENSG00000275724	
ENSG00000234411	
ENSG00000277802	
ENSG00000276378	
ENSG00000272613	
ENSG00000272793	
ENSG00000282155	
ENSG00000281407	
ENSG00000282226	
ENSG00000225351	
ENSG00000275551	
ENSG00000280960	
ENSG00000282496	
ENSG00000281150	
ENSG00000274195	
ENSG00000281767	
ENSG00000274126	
ENSG00000275474	
ENSG00000281429	
ENSG00000277530	
ENSG00000282075	
ENSG00000275031	
ENSG00000280471	
ENSG00000277776	
ENSG00000272857	
ENSG00000235788	
ENSG00000281993	
ENSG00000274174	
ENSG00000281788	
ENSG00000274405	
ENSG00000281349	
ENSG00000233054	
ENSG00000228147	
ENSG00000281945	
ENSG00000278759	
ENSG00000278789	
ENSG00000235915	
ENSG00000277733	
ENSG00000275794	
ENSG00000281094	
ENSG00000281561	
ENSG00000277667	
ENSG00000280677	
ENSG00000275165	
ENSG00000280939	
ENSG00000278114	
ENSG00000281862	
ENSG00000275434	
ENSG00000276464	
ENSG00000276296	
ENSG00000274005	
ENSG00000281848	
ENSG00000275979	
ENSG00000274362	
ENSG00000278300	
ENSG00000274392	
ENSG00000278468	
ENSG00000273833	
ENSG00000276420	
ENSG00000276184	
ENSG00000277953	
ENSG00000274107	
ENSG00000276816	
ENSG00000277853	
ENSG00000282257	
ENSG00000276421	
ENSG00000275193	
ENSG00000281121	
ENSG00000281229	
ENSG00000281950	
ENSG00000280946	
ENSG00000281597	
ENSG00000281073	
ENSG00000277033	
ENSG00000278021	
ENSG00000282580	
ENSG00000282364	
ENSG00000274739	
ENSG00000273896	
ENSG00000282379	
ENSG00000274109	
ENSG00000276299	
ENSG00000278415	
ENSG00000274703	
ENSG00000275123	
ENSG00000281711	
ENSG00000273865	
ENSG00000273916	
ENSG00000276370	
ENSG00000281573	
ENSG00000282349	
ENSG00000282254	
ENSG00000276526	
ENSG00000275661	
ENSG00000276351	
ENSG00000276345	ENSRNOG00000020354
ENSG00000252239	
ENSG00000276452	
ENSG00000273532	
ENSG00000226271	
ENSG00000277457	
ENSG00000231904	
ENSG00000231179	
ENSG00000278296	
ENSG00000274504	
ENSG00000277996	
ENSG00000274511	
ENSG00000278365	
ENSG00000274533	
ENSG00000276739	
ENSG00000278120	
ENSG00000278707	
ENSG00000274185	
ENSG00000230754	
ENSG00000237703	
ENSG00000276720	
ENSG00000273726	
ENSG00000277751	
ENSG00000275462	
ENSG00000262145	
ENSG00000282475	
ENSG00000262927	
ENSG00000276312	
ENSG00000276700	
ENSG00000273564	
ENSG00000275757	ENSRNOG00000067717
ENSG00000275757	ENSRNOG00000069960
ENSG00000262226	
ENSG00000273739	
ENSG00000262016	
ENSG00000278154	
ENSG00000262607	
ENSG00000262819	
ENSG00000281424	
ENSG00000276033	
ENSG00000262201	
ENSG00000280545	
ENSG00000262082	
ENSG00000274131	
ENSG00000235714	
ENSG00000262349	
ENSG00000236967	
ENSG00000262776	
ENSG00000282190	
ENSG00000282368	
ENSG00000275539	
ENSG00000282422	
ENSG00000282696	
ENSG00000280470	
ENSG00000236614	
ENSG00000276495	
ENSG00000272877	
ENSG00000231350	
ENSG00000281216	
ENSG00000274857	
ENSG00000281505	
ENSG00000263137	
ENSG00000278565	
ENSG00000224642	
ENSG00000235722	
ENSG00000228978	
ENSG00000262193	
ENSG00000262435	
ENSG00000232289	
ENSG00000282676	
ENSG00000276912	
ENSG00000234096	
ENSG00000274143	
ENSG00000281630	
ENSG00000280748	
ENSG00000281317	
ENSG00000281659	
ENSG00000281484	
ENSG00000276944	
ENSG00000280726	
ENSG00000281418	
ENSG00000280540	
ENSG00000281654	
ENSG00000280501	
ENSG00000281583	
ENSG00000277800	
ENSG00000281382	
ENSG00000280972	
ENSG00000281556	
ENSG00000280542	
ENSG00000280882	
ENSG00000275577	
ENSG00000281224	
ENSG00000275564	
ENSG00000282185	
ENSG00000282038	
ENSG00000276802	
ENSG00000275118	
ENSG00000282540	
ENSG00000282006	
ENSG00000282073	
ENSG00000282145	
ENSG00000275644	
ENSG00000282224	
ENSG00000282479	
ENSG00000277090	
ENSG00000281900	
ENSG00000281400	
ENSG00000281065	
ENSG00000280940	
ENSG00000280929	
ENSG00000273579	
ENSG00000274926	
ENSG00000282781	
ENSG00000282147	
ENSG00000282309	
ENSG00000281670	
ENSG00000282645	
ENSG00000274796	
ENSG00000281153	
ENSG00000281951	
ENSG00000274439	
ENSG00000274240	
ENSG00000276636	
ENSG00000280555	
ENSG00000277517	
ENSG00000282557	
ENSG00000282333	
ENSG00000274843	
ENSG00000282662	
ENSG00000277409	
ENSG00000275837	
ENSG00000278608	
ENSG00000282575	
ENSG00000281622	
ENSG00000281208	
ENSG00000282461	
ENSG00000274846	
ENSG00000272803	
ENSG00000278178	
ENSG00000282779	
ENSG00000275304	
ENSG00000282567	
ENSG00000275633	
ENSG00000281507	
ENSG00000280463	
ENSG00000277361	
ENSG00000281803	
ENSG00000278776	
ENSG00000281718	
ENSG00000277177	
ENSG00000281804	
ENSG00000281688	
ENSG00000262531	
ENSG00000274806	
ENSG00000281263	
ENSG00000262111	
ENSG00000263028	
ENSG00000276887	
ENSG00000278699	
ENSG00000272712	
ENSG00000273326	
ENSG00000276061	
ENSG00000262829	
ENSG00000273431	
ENSG00000276323	
ENSG00000272751	
ENSG00000262612	
ENSG00000261984	
ENSG00000276220	
ENSG00000273086	
ENSG00000261853	
ENSG00000276826	
ENSG00000261936	
ENSG00000263097	
ENSG00000273457	
ENSG00000262525	
ENSG00000273092	
ENSG00000278322	
ENSG00000273144	
ENSG00000262293	
ENSG00000263247	
ENSG00000226799	
ENSG00000227858	
ENSG00000282544	
ENSG00000229469	
ENSG00000281604	
ENSG00000242289	
ENSG00000282545	
ENSG00000282060	
ENSG00000281836	
ENSG00000227576	
ENSG00000282072	
ENSG00000275809	
ENSG00000225550	
ENSG00000273624	
ENSG00000282660	
ENSG00000275796	
ENSG00000276468	
ENSG00000282655	
ENSG00000225305	
ENSG00000227384	
ENSG00000277507	
ENSG00000281743	
ENSG00000264619	
ENSG00000281237	
ENSG00000282004	
ENSG00000276701	
ENSG00000278186	
ENSG00000282503	
ENSG00000282643	
ENSG00000282169	
ENSG00000282130	
ENSG00000274161	
ENSG00000281925	
ENSG00000282417	
ENSG00000275117	
ENSG00000278270	
ENSG00000280601	
ENSG00000281287	
ENSG00000276051	
ENSG00000281180	
ENSG00000274437	
ENSG00000282105	
ENSG00000277709	
ENSG00000282444	
ENSG00000282198	
ENSG00000276875	
ENSG00000282648	
ENSG00000282023	
ENSG00000282118	
ENSG00000278310	
ENSG00000282764	
ENSG00000282178	
